,main_score,task,model,prompt,is_baseline
0,0.6514257083912395,AmazonCounterfactualClassification,BAAI/bge-large-en-v1.5,default,True
1,0.87271,FEVERHardNegatives,BAAI/bge-large-en-v1.5,default,True
2,0.4890619596097559,STS22.v2,BAAI/bge-large-en-v1.5,default,True
3,0.47058,Touche2020Retrieval.v3,BAAI/bge-large-en-v1.5,default,True
4,0.8802952704872573,STS15,BAAI/bge-large-en-v1.5,default,True
5,0.8277810172031654,STS14,BAAI/bge-large-en-v1.5,default,True
6,0.17327,MIRACLRetrievalHardNegatives.v2,BAAI/bge-large-en-v1.5,default,True
7,0.42675775,TweetSentimentClassification,BAAI/bge-large-en-v1.5,default,True
8,0.363124446086602,MedrxivClusteringP2P.v2,BAAI/bge-large-en-v1.5,default,True
9,0.39969681929197,MasakhaNEWSClusteringS2S,BAAI/bge-large-en-v1.5,default,True
10,0.5941857905540503,StackExchangeClustering.v2,BAAI/bge-large-en-v1.5,default,True
11,0.9284599999999998,ImdbClassification,BAAI/bge-large-en-v1.5,default,True
12,0.90422325,AmazonCounterfactualClassification,Qwen/Qwen3-Embedding-0.6B,default,True
13,0.88942,FEVERHardNegatives,Qwen/Qwen3-Embedding-0.6B,default,True
14,0.7183335555555556,STS22.v2,Qwen/Qwen3-Embedding-0.6B,default,True
15,0.954392,ImdbClassification,Qwen/Qwen3-Embedding-0.6B,default,True
16,0.69896,Touche2020Retrieval.v3,Qwen/Qwen3-Embedding-0.6B,default,True
17,0.914472,STS15,Qwen/Qwen3-Embedding-0.6B,default,True
18,0.871015,STS14,Qwen/Qwen3-Embedding-0.6B,default,True
19,0.686245,MIRACLRetrievalHardNegatives.v2,Qwen/Qwen3-Embedding-0.6B,default,True
20,0.421841,MedrxivClusteringP2P.v2,Qwen/Qwen3-Embedding-0.6B,default,True
21,0.532390125,MasakhaNEWSClusteringS2S,Qwen/Qwen3-Embedding-0.6B,default,True
22,0.711618,StackExchangeClustering.v2,Qwen/Qwen3-Embedding-0.6B,default,True
23,0.6860635595543068,AmazonCounterfactualClassification,intfloat/multilingual-e5-large-instruct,default,True
24,0.75756,FEVERHardNegatives,intfloat/multilingual-e5-large-instruct,default,True
25,0.6895046564954581,STS22.v2,intfloat/multilingual-e5-large-instruct,default,True
26,0.946112,ImdbClassification,intfloat/multilingual-e5-large-instruct,default,True
27,0.53257,Touche2020Retrieval.v3,intfloat/multilingual-e5-large-instruct,default,True
28,0.9102208309425296,STS15,intfloat/multilingual-e5-large-instruct,default,True
29,0.8482883151106293,STS14,intfloat/multilingual-e5-large-instruct,default,True
30,0.6211099999999999,MIRACLRetrievalHardNegatives.v2,intfloat/multilingual-e5-large-instruct,default,True
31,0.547802734375,TweetSentimentClassification,intfloat/multilingual-e5-large-instruct,default,True
32,0.3809242836891137,MedrxivClusteringP2P.v2,intfloat/multilingual-e5-large-instruct,default,True
33,0.592332275159916,MasakhaNEWSClusteringS2S,intfloat/multilingual-e5-large-instruct,default,True
34,0.5996877429544218,StackExchangeClustering.v2,intfloat/multilingual-e5-large-instruct,default,True
35,0.6602951658649427,AmazonCounterfactualClassification,BAAI/bge-base-en-v1.5,default,True
36,0.86041,FEVERHardNegatives,BAAI/bge-base-en-v1.5,default,True
37,0.46598166908064237,STS22.v2,BAAI/bge-base-en-v1.5,default,True
38,0.49714,Touche2020Retrieval.v3,BAAI/bge-base-en-v1.5,default,True
39,0.8795662500150213,STS15,BAAI/bge-base-en-v1.5,default,True
40,0.8227285338843656,STS14,BAAI/bge-base-en-v1.5,default,True
41,0.11812,MIRACLRetrievalHardNegatives.v2,BAAI/bge-base-en-v1.5,default,True
42,0.417138625,TweetSentimentClassification,BAAI/bge-base-en-v1.5,default,True
43,0.3632620368274916,MedrxivClusteringP2P.v2,BAAI/bge-base-en-v1.5,default,True
44,0.40468395717880457,MasakhaNEWSClusteringS2S,BAAI/bge-base-en-v1.5,default,True
45,0.5533297004859964,StackExchangeClustering.v2,BAAI/bge-base-en-v1.5,default,True
46,0.9080799999999998,ImdbClassification,BAAI/bge-base-en-v1.5,default,True
47,0.9548033073015731,AmazonCounterfactualClassification,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
48,0.88232,FEVERHardNegatives,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
49,0.7323705229059266,STS22.v2,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
50,0.95914,ImdbClassification,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
51,0.63225,Touche2020Retrieval.v3,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
52,0.9032929760921006,STS15,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
53,0.8599180550008585,STS14,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
54,0.4557062461631795,MedrxivClusteringP2P.v2,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
55,0.7583726954485177,StackExchangeClustering.v2,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,default,True
56,0.6480006105111805,AmazonCounterfactualClassification,BAAI/bge-small-en-v1.5,default,True
57,0.86236,FEVERHardNegatives,BAAI/bge-small-en-v1.5,default,True
58,0.46925847250748354,STS22.v2,BAAI/bge-small-en-v1.5,default,True
59,0.57573,Touche2020Retrieval.v3,BAAI/bge-small-en-v1.5,default,True
60,0.8726544426377639,STS15,BAAI/bge-small-en-v1.5,default,True
61,0.8183539566263665,STS14,BAAI/bge-small-en-v1.5,default,True
62,0.05532,MIRACLRetrievalHardNegatives.v2,BAAI/bge-small-en-v1.5,default,True
63,0.417041,TweetSentimentClassification,BAAI/bge-small-en-v1.5,default,True
64,0.3666103078151083,MedrxivClusteringP2P.v2,BAAI/bge-small-en-v1.5,default,True
65,0.3927316851401741,MasakhaNEWSClusteringS2S,BAAI/bge-small-en-v1.5,default,True
66,0.5729472500253643,StackExchangeClustering.v2,BAAI/bge-small-en-v1.5,default,True
67,0.9060600000000001,ImdbClassification,BAAI/bge-small-en-v1.5,default,True
68,0.517188,TweetSentimentClassification,BAAI/bge-large-en-v1.5,Label this example:,False
69,0.341955,MasakhaNEWSClusteringS2S,BAAI/bge-large-en-v1.5,Assign to a cluster:,False
70,0.637538,AmazonCounterfactualClassification,BAAI/bge-large-en-v1.5,Assign a counterfactual detection label:,False
72,0.47232,FEVERHardNegatives,BAAI/bge-large-en-v1.5,Search representation for retrieval:,False
